ticket_1,ticket_2,is_duplicate,similarity_type
ITS-00003,ITS-00005,1,semantic
ITS-00007,ITS-00009,1,semantic
ITS-00001,ITS-00011,1,semantic
ITS-00027,ITS-00045,1,semantic
ITS-00033,ITS-00050,1,semantic
ITS-00034,ITS-00052,1,semantic
ITS-00016,ITS-00053,1,semantic
ITS-00053,ITS-00056,1,semantic
ITS-00050,ITS-00059,1,semantic
ITS-00032,ITS-00062,1,semantic
ITS-00032,ITS-00079,1,semantic
ITS-00010,ITS-00081,1,semantic
ITS-00038,ITS-00083,1,semantic
ITS-00001,ITS-00085,1,semantic
ITS-00015,ITS-00089,1,semantic
ITS-00041,ITS-00097,1,semantic
ITS-00039,ITS-00107,1,semantic
ITS-00051,ITS-00112,1,semantic
ITS-00102,ITS-00115,1,semantic
ITS-00030,ITS-00121,1,semantic
ITS-00019,ITS-00130,1,semantic
ITS-00069,ITS-00132,1,semantic
ITS-00071,ITS-00140,1,semantic
ITS-00119,ITS-00141,1,semantic
ITS-00134,ITS-00153,1,semantic
ITS-00071,ITS-00168,1,semantic
ITS-00102,ITS-00169,1,semantic
ITS-00086,ITS-00180,1,semantic
ITS-00125,ITS-00186,1,semantic
ITS-00130,ITS-00187,1,semantic
ITS-00140,ITS-00189,1,semantic
ITS-00127,ITS-00203,1,semantic
ITS-00046,ITS-00227,1,semantic
ITS-00200,ITS-00238,1,semantic
ITS-00025,ITS-00245,1,semantic
ITS-00202,ITS-00255,1,semantic
ITS-00005,ITS-00261,1,semantic
ITS-00193,ITS-00274,1,semantic
ITS-00203,ITS-00278,1,semantic
ITS-00242,ITS-00287,1,semantic
ITS-00290,ITS-00310,1,semantic
ITS-00007,ITS-00321,1,semantic
ITS-00312,ITS-00339,1,semantic
ITS-00035,ITS-00341,1,semantic
ITS-00335,ITS-00347,1,semantic
ITS-00215,ITS-00348,1,semantic
ITS-00075,ITS-00350,1,semantic
ITS-00089,ITS-00355,1,semantic
ITS-00194,ITS-00357,1,semantic
ITS-00038,ITS-00368,1,semantic
ITS-00221,ITS-00380,1,semantic
ITS-00227,ITS-00384,1,semantic
ITS-00181,ITS-00391,1,semantic
ITS-00160,ITS-00392,1,semantic
ITS-00232,ITS-00421,1,semantic
ITS-00162,ITS-00425,1,semantic
ITS-00094,ITS-00426,1,semantic
ITS-00285,ITS-00433,1,semantic
ITS-00256,ITS-00435,1,semantic
ITS-00138,ITS-00436,1,semantic
ITS-00200,ITS-00438,1,semantic
ITS-00156,ITS-00444,1,semantic
ITS-00382,ITS-00450,1,semantic
ITS-00068,ITS-00452,1,semantic
ITS-00091,ITS-00453,1,semantic
ITS-00449,ITS-00456,1,semantic
ITS-00173,ITS-00459,1,semantic
ITS-00102,ITS-00461,1,semantic
ITS-00238,ITS-00476,1,semantic
ITS-00068,ITS-00489,1,semantic
ITS-00153,ITS-00490,1,semantic
ITS-00292,ITS-00495,1,semantic
ITS-00287,ITS-00496,1,semantic
ITS-00418,ITS-00498,1,semantic
