query_idx,unified_id,ticket_id,category,severity,query_length,Dense_Only_recall@1,Dense_Only_recall@3,Dense_Only_recall@5,Dense_Only_recall@10,Dense_Only_mrr,Dense_Only_ndcg@5,Dense_Only_ndcg@10,Dense_Only_latency_ms,BM25_Only_recall@1,BM25_Only_recall@3,BM25_Only_recall@5,BM25_Only_recall@10,BM25_Only_mrr,BM25_Only_ndcg@5,BM25_Only_ndcg@10,BM25_Only_latency_ms,Hybrid_NoRerank_recall@1,Hybrid_NoRerank_recall@3,Hybrid_NoRerank_recall@5,Hybrid_NoRerank_recall@10,Hybrid_NoRerank_mrr,Hybrid_NoRerank_ndcg@5,Hybrid_NoRerank_ndcg@10,Hybrid_NoRerank_latency_ms,Hybrid_Rerank_recall@1,Hybrid_Rerank_recall@3,Hybrid_Rerank_recall@5,Hybrid_Rerank_recall@10,Hybrid_Rerank_mrr,Hybrid_Rerank_ndcg@5,Hybrid_Rerank_ndcg@10,Hybrid_Rerank_latency_ms
0,U-000000,ITS-00001,Account,Medium,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,370.1
1,U-000001,ITS-00002,Hardware,Medium,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,347.1
2,U-000002,ITS-00003,Software,Low,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,368.6
3,U-000003,ITS-00004,Software,Low,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,369.3
4,U-000004,ITS-00005,Network,Medium,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,345.4
5,U-000005,ITS-00006,Network,Low,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,366.8
6,U-000006,ITS-00007,Network,Medium,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,384.4
7,U-000007,ITS-00008,Hardware,Medium,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,337.0
8,U-000008,ITS-00009,Software,Low,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,381.8
9,U-000009,ITS-00010,Hardware,Medium,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,340.6
10,U-000010,ITS-00011,Account,Low,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,345.7
11,U-000011,ITS-00012,Hardware,Medium,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.3
12,U-000012,ITS-00013,Hardware,Low,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,318.9
13,U-000013,ITS-00014,Software,Medium,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,358.5
14,U-000014,ITS-00015,Network,High,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,339.1
15,U-000015,ITS-00016,Incident,Low,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,384.3
16,U-000016,ITS-00017,Incident,High,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,427.9
17,U-000017,ITS-00018,Software,High,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,314.5
18,U-000018,ITS-00019,Software,Medium,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300.5
19,U-000019,ITS-00020,Network,Medium,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,341.6
20,U-000020,ITS-00021,Incident,Medium,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0
21,U-000021,ITS-00022,Hardware,Medium,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,352.5
22,U-000022,ITS-00023,Software,Critical,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,351.7
23,U-000023,ITS-00024,Hardware,Low,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,326.3
24,U-000024,ITS-00025,Hardware,Critical,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,327.1
25,U-000025,ITS-00026,Network,Medium,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,340.9
26,U-000026,ITS-00027,Software,Medium,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,317.7
27,U-000027,ITS-00028,Account,Low,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,362.1
28,U-000028,ITS-00029,Incident,Medium,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,384.5
29,U-000029,ITS-00030,Hardware,Medium,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,331.5
30,U-000030,ITS-00031,Hardware,High,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.6
31,U-000031,ITS-00032,Network,Medium,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.4
32,U-000032,ITS-00033,Incident,Medium,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372.1
33,U-000033,ITS-00034,Hardware,Low,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,337.5
34,U-000034,ITS-00035,Incident,Medium,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,373.5
35,U-000035,ITS-00036,Software,Medium,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,362.6
36,U-000036,ITS-00037,Network,Medium,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,348.3
37,U-000037,ITS-00038,Hardware,Medium,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,333.2
38,U-000038,ITS-00039,Incident,Low,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,345.8
39,U-000039,ITS-00040,Software,Medium,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,297.5
40,U-000040,ITS-00041,Hardware,Critical,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,323.8
41,U-000041,ITS-00042,Software,Medium,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325.1
42,U-000042,ITS-00043,Hardware,Medium,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,373.5
43,U-000043,ITS-00044,Incident,High,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,404.6
44,U-000044,ITS-00045,Network,Critical,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,357.8
45,U-000045,ITS-00046,Incident,Medium,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,374.9
46,U-000046,ITS-00047,Incident,Medium,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,425.3
47,U-000047,ITS-00048,Software,Medium,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,361.5
48,U-000048,ITS-00049,Account,High,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,302.6
49,U-000049,ITS-00050,Software,High,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,347.5
50,U-000050,ITS-00051,Network,Medium,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,304.9
51,U-000051,ITS-00052,Account,High,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.4
52,U-000052,ITS-00053,Hardware,High,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,328.8
53,U-000053,ITS-00054,Account,High,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.7
54,U-000054,ITS-00055,Hardware,Medium,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,322.5
55,U-000055,ITS-00056,Account,Medium,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,332.4
56,U-000056,ITS-00057,Incident,Medium,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,359.7
57,U-000057,ITS-00058,Software,High,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.7
58,U-000058,ITS-00059,Incident,Medium,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,376.0
59,U-000059,ITS-00060,Software,Medium,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.5
60,U-000060,ITS-00061,Hardware,Low,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,343.2
61,U-000061,ITS-00062,Hardware,High,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,350.7
62,U-000062,ITS-00063,Network,High,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,364.5
63,U-000063,ITS-00064,Account,Critical,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,351.2
64,U-000064,ITS-00065,Hardware,Medium,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,366.5
65,U-000065,ITS-00066,Account,Medium,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,382.6
66,U-000066,ITS-00067,Incident,Critical,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,389.1
67,U-000067,ITS-00068,Hardware,Medium,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,316.9
68,U-000068,ITS-00069,Account,High,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,377.3
69,U-000069,ITS-00070,Hardware,Low,222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.4,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,332.0
70,U-000070,ITS-00071,Software,Low,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,374.5
71,U-000071,ITS-00072,Account,Medium,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,347.6
72,U-000072,ITS-00073,Software,Medium,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,346.7
73,U-000073,ITS-00074,Software,High,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.1
74,U-000074,ITS-00075,Hardware,Low,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,316.7
75,U-000075,ITS-00076,Hardware,Low,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,303.4
76,U-000076,ITS-00077,Account,Medium,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,362.5
77,U-000077,ITS-00078,Software,Low,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,366.5
78,U-000078,ITS-00079,Account,Medium,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,338.5
79,U-000079,ITS-00080,Incident,Low,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,399.2
80,U-000080,ITS-00081,Software,Low,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.3
81,U-000081,ITS-00082,Hardware,Medium,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,350.9
82,U-000082,ITS-00083,Account,Medium,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,358.8
83,U-000083,ITS-00084,Network,High,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,326.5
84,U-000084,ITS-00085,Hardware,Low,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,351.8
85,U-000085,ITS-00086,Incident,Low,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,352.0
86,U-000086,ITS-00087,Incident,Medium,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,332.5
