threshold,f1,cost,precision,recall
0.5,0.2381,128.0,1.0,0.1351
0.52,0.2169,130.0,1.0,0.1216
0.54,0.1728,134.0,1.0,0.0946
0.56,0.15,136.0,1.0,0.0811
0.58,0.1026,140.0,1.0,0.0541
0.6,0.0779,142.0,1.0,0.0405
0.62,0.0526,144.0,1.0,0.027
0.64,0.0526,144.0,1.0,0.027
0.66,0.0267,146.0,1.0,0.0135
0.68,0.0,148.0,0.0,0.0
0.7,0.0,148.0,0.0,0.0
0.72,0.0,148.0,0.0,0.0
0.74,0.0,148.0,0.0,0.0
0.76,0.0,148.0,0.0,0.0
0.78,0.0,148.0,0.0,0.0
0.8,0.0,148.0,0.0,0.0
0.82,0.0,148.0,0.0,0.0
0.84,0.0,148.0,0.0,0.0
0.86,0.0,148.0,0.0,0.0
0.88,0.0,148.0,0.0,0.0
0.9,0.0,148.0,0.0,0.0
0.92,0.0,148.0,0.0,0.0
0.94,0.0,148.0,0.0,0.0
0.96,0.0,148.0,0.0,0.0
