threshold,precision,recall,f1,false_positives,false_negatives,cost
0.5,1.0,0.1351,0.2381,0,64,128.0
0.52,1.0,0.1216,0.2169,0,65,130.0
0.54,1.0,0.0946,0.1728,0,67,134.0
0.56,1.0,0.0811,0.15,0,68,136.0
0.58,1.0,0.0541,0.1026,0,70,140.0
0.6,1.0,0.0405,0.0779,0,71,142.0
0.62,1.0,0.027,0.0526,0,72,144.0
0.64,1.0,0.027,0.0526,0,72,144.0
0.66,1.0,0.0135,0.0267,0,73,146.0
0.68,0.0,0.0,0.0,0,74,148.0
0.7,0.0,0.0,0.0,0,74,148.0
0.72,0.0,0.0,0.0,0,74,148.0
0.74,0.0,0.0,0.0,0,74,148.0
0.76,0.0,0.0,0.0,0,74,148.0
0.78,0.0,0.0,0.0,0,74,148.0
0.8,0.0,0.0,0.0,0,74,148.0
0.82,0.0,0.0,0.0,0,74,148.0
0.84,0.0,0.0,0.0,0,74,148.0
0.86,0.0,0.0,0.0,0,74,148.0
0.88,0.0,0.0,0.0,0,74,148.0
0.9,0.0,0.0,0.0,0,74,148.0
0.92,0.0,0.0,0.0,0,74,148.0
0.94,0.0,0.0,0.0,0,74,148.0
0.96,0.0,0.0,0.0,0,74,148.0
