unified_id,method,perturbation_count,target_in@1,target_in@3,target_in@5,target_in@10,best_rank_any_perturb,worst_rank_any_perturb,jaccard_top10_across_perturbs,mean_latency_ms
UNI-7B0725281844,Dense_Only,5,0,0,0,0,,,1.0,40.41152000427246
UNI-7B0725281844,BM25_Only,5,0,0,0,0,,,0.8181818181818182,732.4077606201172
UNI-7B0725281844,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,813.7368202209473
UNI-7B0725281844,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,1003.3161163330078
UNI-E683C07B1223,Dense_Only,5,0,0,0,0,,,0.5384615384615384,43.427085876464844
UNI-E683C07B1223,BM25_Only,5,0,0,0,0,,,1.0,771.5134620666504
UNI-E683C07B1223,Hybrid_NoRerank,5,0,0,0,0,,,0.42857142857142855,855.0649642944336
UNI-E683C07B1223,Hybrid_Rerank,5,0,0,0,0,,,0.42857142857142855,1007.0981979370117
UNI-1FE06D054FC1,Dense_Only,5,0,0,0,0,,,0.42857142857142855,38.63964080810547
UNI-1FE06D054FC1,BM25_Only,5,0,0,0,0,,,1.0,674.5539665222168
UNI-1FE06D054FC1,Hybrid_NoRerank,5,0,0,0,0,,,0.5833333333333334,752.6939868927002
UNI-1FE06D054FC1,Hybrid_Rerank,5,0,0,0,0,,,0.5833333333333334,875.3195762634277
UNI-365893D06115,Dense_Only,5,0,0,0,0,,,0.42857142857142855,61.106157302856445
UNI-365893D06115,BM25_Only,5,0,0,0,0,,,1.0,803.5176277160645
UNI-365893D06115,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,846.0643291473389
UNI-365893D06115,Hybrid_Rerank,5,0,0,0,0,,,0.5384615384615384,974.6121883392334
UNI-3B3E3281F661,Dense_Only,5,0,0,0,0,,,0.6153846153846154,54.87055778503418
UNI-3B3E3281F661,BM25_Only,5,0,0,0,0,,,0.8181818181818182,690.9979343414307
UNI-3B3E3281F661,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,676.1705875396729
UNI-3B3E3281F661,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,685.7056617736816
UNI-3FCF15C0A17F,Dense_Only,5,0,0,0,0,,,0.8181818181818182,49.74536895751953
UNI-3FCF15C0A17F,BM25_Only,5,0,0,0,0,,,1.0,861.7519378662109
UNI-3FCF15C0A17F,Hybrid_NoRerank,5,0,0,0,0,,,0.75,677.2465705871582
UNI-3FCF15C0A17F,Hybrid_Rerank,5,0,0,0,0,,,0.75,723.1518745422363
UNI-5A0A8D5C6807,Dense_Only,5,0,0,0,0,,,0.6153846153846154,42.54012107849121
UNI-5A0A8D5C6807,BM25_Only,5,0,0,0,0,,,1.0,1087.3104572296143
UNI-5A0A8D5C6807,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,903.4814357757568
UNI-5A0A8D5C6807,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,946.1936473846436
UNI-76FCB1083770,Dense_Only,5,0,0,0,0,,,0.42857142857142855,42.014360427856445
UNI-76FCB1083770,BM25_Only,5,0,0,0,0,,,0.8181818181818182,829.306697845459
UNI-76FCB1083770,Hybrid_NoRerank,5,0,0,0,0,,,0.3333333333333333,675.3485202789307
UNI-76FCB1083770,Hybrid_Rerank,5,0,0,0,0,,,0.3333333333333333,729.5252323150635
UNI-7D7266935AB4,Dense_Only,5,0,0,0,0,,,0.5384615384615384,43.55282783508301
UNI-7D7266935AB4,BM25_Only,5,0,0,0,0,,,1.0,824.7220039367676
UNI-7D7266935AB4,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,888.5692119598389
UNI-7D7266935AB4,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,857.15651512146
UNI-9672586F45B2,Dense_Only,5,0,0,0,0,,,0.6666666666666666,40.834760665893555
UNI-9672586F45B2,BM25_Only,5,0,0,0,0,,,1.0,672.5026607513428
UNI-9672586F45B2,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,890.7364368438721
UNI-9672586F45B2,Hybrid_Rerank,5,0,0,0,0,,,0.6666666666666666,736.2385272979736
UNI-0DA86280F532,Dense_Only,5,0,0,0,0,,,0.8181818181818182,40.270280838012695
UNI-0DA86280F532,BM25_Only,5,0,0,0,0,,,0.6666666666666666,799.7737884521484
UNI-0DA86280F532,Hybrid_NoRerank,5,0,0,0,0,,,0.7272727272727273,1104.6924591064453
UNI-0DA86280F532,Hybrid_Rerank,5,0,0,0,0,,,0.7272727272727273,851.830530166626
UNI-0F50BC2A1C94,Dense_Only,5,0,0,0,0,,,0.5384615384615384,39.87770080566406
UNI-0F50BC2A1C94,BM25_Only,5,0,0,0,0,,,1.0,572.2023487091064
UNI-0F50BC2A1C94,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,852.8897762298584
UNI-0F50BC2A1C94,Hybrid_Rerank,5,0,0,0,0,,,0.5384615384615384,659.683084487915
UNI-DA5EE1E9779D,Dense_Only,5,0,0,0,0,,,0.5384615384615384,150.49824714660645
UNI-DA5EE1E9779D,BM25_Only,5,0,0,0,0,,,1.0,576.2499809265137
UNI-DA5EE1E9779D,Hybrid_NoRerank,5,0,0,0,0,,,0.6153846153846154,687.5851631164551
UNI-DA5EE1E9779D,Hybrid_Rerank,5,0,0,0,0,,,0.6153846153846154,836.8950366973877
UNI-2786CD1DD521,Dense_Only,5,0,0,0,0,,,0.75,39.62807655334473
UNI-2786CD1DD521,BM25_Only,5,0,0,0,0,,,1.0,678.8739681243896
UNI-2786CD1DD521,Hybrid_NoRerank,5,0,0,0,0,,,0.5833333333333334,795.1088428497314
UNI-2786CD1DD521,Hybrid_Rerank,5,0,0,0,0,,,0.5833333333333334,872.3544120788574
UNI-73EB8A4334BA,Dense_Only,5,0,0,0,0,,,0.6666666666666666,55.490684509277344
UNI-73EB8A4334BA,BM25_Only,5,0,0,0,0,,,1.0,611.6952419281006
UNI-73EB8A4334BA,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,707.642412185669
UNI-73EB8A4334BA,Hybrid_Rerank,5,0,0,0,0,,,0.5384615384615384,640.0023937225342
UNI-9755729CF7A7,Dense_Only,5,0,0,0,0,,,0.6153846153846154,41.12396240234375
UNI-9755729CF7A7,BM25_Only,5,0,0,0,0,,,1.0,993.0602073669434
UNI-9755729CF7A7,Hybrid_NoRerank,5,0,0,0,0,,,0.5833333333333334,905.6635856628418
UNI-9755729CF7A7,Hybrid_Rerank,5,0,0,0,0,,,0.5833333333333334,823.253583908081
UNI-43927C1F006A,Dense_Only,5,0,0,0,0,,,0.5384615384615384,41.237688064575195
UNI-43927C1F006A,BM25_Only,5,0,0,0,0,,,0.8181818181818182,904.6350479125977
UNI-43927C1F006A,Hybrid_NoRerank,5,0,0,0,0,,,1.0,754.570484161377
UNI-43927C1F006A,Hybrid_Rerank,5,0,0,0,0,,,1.0,728.5426616668701
UNI-CD3632D0B26D,Dense_Only,5,0,0,0,0,,,0.5384615384615384,41.04723930358887
UNI-CD3632D0B26D,BM25_Only,5,0,0,0,0,,,1.0,968.8650131225586
UNI-CD3632D0B26D,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,816.8524742126465
UNI-CD3632D0B26D,Hybrid_Rerank,5,0,0,0,0,,,0.5384615384615384,800.3613471984863
UNI-F6EC394AE482,Dense_Only,5,0,0,0,0,,,0.5384615384615384,38.767051696777344
UNI-F6EC394AE482,BM25_Only,5,0,0,0,0,,,1.0,845.8595275878906
UNI-F6EC394AE482,Hybrid_NoRerank,5,0,0,0,0,,,0.5384615384615384,792.4665451049805
UNI-F6EC394AE482,Hybrid_Rerank,5,0,0,0,0,,,0.5384615384615384,712.4433517456055
UNI-6B84DD0C868E,Dense_Only,5,0,0,0,0,,,0.5384615384615384,39.41521644592285
UNI-6B84DD0C868E,BM25_Only,5,0,0,0,0,,,0.8181818181818182,880.9848785400391
UNI-6B84DD0C868E,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,973.7980842590332
UNI-6B84DD0C868E,Hybrid_Rerank,5,0,0,0,0,,,0.6666666666666666,887.7714157104492
UNI-3413B2D00693,Dense_Only,5,0,0,0,0,,,0.6666666666666666,43.47233772277832
UNI-3413B2D00693,BM25_Only,5,0,0,0,0,,,1.0,902.6642322540283
UNI-3413B2D00693,Hybrid_NoRerank,5,0,0,0,0,,,0.8181818181818182,993.8226222991943
UNI-3413B2D00693,Hybrid_Rerank,5,0,0,0,0,,,0.8181818181818182,904.1185855865479
UNI-661C33CCF7F6,Dense_Only,5,0,0,0,0,,,0.46153846153846156,40.55743217468262
UNI-661C33CCF7F6,BM25_Only,5,0,0,0,0,,,1.0,879.492712020874
UNI-661C33CCF7F6,Hybrid_NoRerank,5,0,0,0,0,,,0.5,963.2827758789062
UNI-661C33CCF7F6,Hybrid_Rerank,5,0,0,0,0,,,0.5,811.4880561828613
UNI-19B123990F1D,Dense_Only,5,0,0,0,0,,,0.5,42.02752113342285
UNI-19B123990F1D,BM25_Only,5,0,0,0,0,,,1.0,1082.6486110687256
UNI-19B123990F1D,Hybrid_NoRerank,5,0,0,0,0,,,0.6666666666666666,1005.7884216308594
